ES-005 - LOS CARBONALES
Sistematización de Hatos
Software GANADERO SG - Reportes Personalizados
Número = Número del Animal              Nombre = Nombre              E.Mes = Edad en meses              E. Años = Edad en años              Edad Año - Mes = Edad Año - Mes - día
EA = Estado actual              DPar = Días Parida              #C = Total Crías              #P = Total Partos              # Abortos = Total Abortos
D.Ab = Días abiertos              F. P. P = Fecha próximo parto              UIEP = Último intervalo entre partos              DEL = Días lactando
Actualizado a: 05/01/26 Impresión: 03/02/26 10:24:31 AM
No.;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;DPar;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;D.Ab;F. P. P;UIEP
50;007157492;0-2-1-5;72.1;6;06a 00m 00d;VP;65;2;2;0;2025-11-30;0;;Vacía;;65;;589
51;007157510;4-02-029;71.8;6;05a 11m 22d;VP;91;2;2;0;2025-11-04;0;;Vacía;;91;;587
52;007160716;00173887;71.2;5.9;05a 11m 03d;VS;0;2;2;0;2025-11-08;0;;Vacía;;87;;526
53;007160725;00390633;70.9;5.9;05a 10m 24d;VS;0;1;1;0;2024-06-09;0;2025-08-30;Preñada;MN;604;2026-05-30;0
54;007160734;00390627;70.8;5.9;05a 10m 22d;VP;238;3;3;0;2025-06-10;0;;Vacía;;238;;486
55;007162824;00148460;70.5;5.9;05a 10m 13d;VP;84;2;2;0;2025-11-11;0;;Vacía;;84;;576
56;007162825;00194457;70.5;5.9;05a 10m 12d;VP;17;2;2;0;2026-01-17;0;;Vacía;;17;;568
57;007162844;20-11-03;63;5.2;05a 02m 27d;VP;315;1;1;0;2025-03-25;0;2025-11-15;Preñada;MN;315;2026-07-30;0
58;007428481;00339064;69.4;5.8;05a 09m 10d;VS;0;2;2;0;2024-07-10;443;2024-11-17;Preñada;MN;130;2025-09-01;527
59;007428490;00390659;68.6;5.7;05a 08m 15d;VP;78;2;2;0;2025-11-17;0;;Vacía;;78;;738
60;007428507;00390675;65.7;5.5;05a 05m 18d;VS;0;1;1;0;2025-03-15;225;2025-06-23;Preñada;MN;100;2026-04-07;0
61;007428543;7-12-030;66;5.5;05a 05m 27d;VP;27;2;2;0;2026-01-07;0;;Vacía;;27;;534
62;007428545C;7-09-004;101;8.4;08a 05m 02d;VP;273;3;3;0;2025-05-06;0;;Vacía;;273;;597
63;007428551;00339064;64.8;5.4;05a 04m 22d;VP;54;2;2;0;2025-12-11;0;;Vacía;;54;;615
64;007428580;00388832;65.4;5.4;05a 05m 09d;VS;0;1;1;0;2024-01-01;443;2024-05-17;Preñada;MN;321;30//2025;0
65;007428601;00194460;69;5.8;05a 08m 29d;VP;418;1;1;0;2024-12-12;0;2025-11-15;Preñada;MN;418;2026-08-30;0
66;007428623;4-03-017;68.2;5.7;05a 08m 04d;VP;82;2;2;0;2025-11-13;0;;Vacía;;82;;590
67;007428625;00339066;70.8;5.9;05a 10m 22d;VS;0;1;1;0;2025-02-26;0;;Vacía;;342;;0
68;007428660;00194459;65.4;5.5;05a 05m 11d;NV;0;0;0;0;;0;2025-07-30;Preñada;MN;1161;2026-04-30;0
69;007428662;00069576;65.4;5.4;05a 05m 09d;VP;589;1;1;0;2024-06-24;0;2025-08-30;Preñada;MN;589;2026-05-30;0
70;007428665;00031971;65.2;5.4;05a 05m 03d;VP;325;2;2;0;2025-03-15;0;2025-11-20;Preñada;MN;325;2026-08-20;473
71;007428671;00208922;64.9;5.4;05a 04m 24d;VS;0;1;1;0;2024-06-08;0;2025-06-25;Preñada;MN;605;2026-03-30;0
72;007428674;00390633;71.1;5.9;05a 10m 30d;NV;0;0;0;0;;0;2025-07-25;Preñada;MN;887;2026-04-30;0
73;007428687;00388934;62;5.2;05a 01m 28d;VP;615;1;1;0;2024-05-29;0;2025-07-20;Preñada;MN;615;2026-04-30;0
74;007428688;7-12-008;68.7;5.7;05a 08m 20d;VS;0;1;1;0;2024-06-09;245;2025-06-03;Preñada;MN;359;2026-03-18;0
75;007428712;2-11-024;63.6;5.3;05a 03m 18d;VS;0;2;2;0;2025-06-11;0;2025-10-20;Preñada;MN;237;2026-08-30;437
76;007428764;00742876;64;5.3;05a 03m 28d;VP;230;1;1;0;2025-06-18;0;;Vacía;;230;;0
77;007428800;00388831;55.6;4.6;04a 07m 15d;VS;0;1;1;0;2025-07-25;0;2025-10-15;Preñada;MN;193;2026-07-15;0
78;007428807;00390672;60;5;04a 11m 27d;VP;242;1;1;0;2025-06-06;0;;Vacía;;242;;0
79;007428809;7-12-048;59.3;4.9;04a 11m 07d;VP;440;1;1;0;2024-11-20;0;2025-07-30;Preñada;MN;440;2026-04-30;0
80;007428829;00390672;57.3;4.8;04a 09m 05d;VP;456;1;1;0;2024-11-04;0;2025-09-30;Preñada;MN;456;2026-05-30;0
81;007428830;00388888;57.3;4.8;04a 09m 05d;VP;394;1;1;0;2025-01-05;0;2025-10-30;Preñada;MN;394;2026-07-30;0
82;007428833;00388928;57.1;4.8;04a 09m 01d;NV;0;0;0;0;;0;2025-10-30;Preñada;MN;419;2026-07-30;0
83;007428876;00390632;59.9;5;04a 11m 24d;VP;447;1;1;0;2024-11-13;0;2025-07-36;Preñada;MN;447;2026-05-01;0
84;007428909;00194459;56.1;4.7;04a 08m 01d;VP;195;1;1;0;2025-07-23;0;2025-10-30;Preñada;MN;195;2026-07-30;0
85;007428914;5-4-31;55.7;4.6;04a 07m 17d;NV;0;0;0;0;;0;2025-06-30;Preñada;MN;583;2026-04-30;0
86;007428933;00390623;57.8;4.8;04a 09m 22d;VS;0;1;1;0;2024-06-11;0;2025-06-15;Preñada;MN;602;2026-03-15;0
87;007428957;3-06-036;55.2;4.6;04a 07m 03d;VP;697;1;1;0;2024-03-08;0;;Vacía;;697;;0
88;007916408;1-01-037;60.8;5.1;05a 00m 24d;VS;0;1;1;0;2024-06-13;0;2025-07-30;Preñada;MN;600;2026-05-01;0
89;008957727;1-07-011;55.1;4.6;04a 06m 30d;VP;395;1;1;0;2025-01-04;0;2025-08-30;Preñada;MN;395;2026-05-30;0
90;008958879;1-08-018;53.9;4.5;04a 05m 25d;NV;0;0;0;0;;0;2025-11-15;Preñada;MN;1307;2026-08-20;0
91;008958885;1-08-024;53.8;4.5;04a 05m 21d;NV;0;0;0;0;;0;;Vacía;;1228;;0
92;008958887;1-08-026;53.9;4.5;04a 05m 25d;VS;0;1;1;0;2024-12-22;0;2025-05-30;Preñada;MN;408;2026-04-05;0
93;008966416;2-01-024;48.8;4.1;04a 00m 22d;VP;78;1;1;0;2025-11-17;0;;Vacía;;78;;0
94;008966435;2-01-043;48.5;4;04a 00m 14d;VP;89;1;1;0;2025-11-06;0;;Vacía;;89;;0
95;009080842;7-09-050;54.8;4.6;04a 06m 23d;VS;0;1;1;0;2025-03-22;0;;Vacía;;318;;0
96;009080893;00069580;52.8;4.4;04a 04m 22d;VP;231;1;1;0;2025-06-17;0;2025-10-30;Preñada;MN;231;2026-07-30;0
97;009080905;8-05-036;54.1;4.5;04a 06m 01d;NV;0;0;0;0;;226;2025-07-22;Preñada;MN;265;2026-05-06;0
98;009080913;7-09-021;52.6;4.4;04a 04m 17d;NV;0;0;0;0;;241;2025-10-07;Preñada;MN;250;2026-07-22;0
99;009080917;00208922;52.4;4.4;04a 04m 10d;VP;132;1;1;0;2025-09-24;0;;Vacía;;132;;0
100;009080920;7-09-052;52.2;4.3;04a 04m 03d;VP;211;1;1;0;2025-07-07;0;;Vacía;;211;;0
101;009080946;00031976;64.5;5.4;05a 04m 12d;VP;292;1;1;0;2025-04-17;0;2025-11-30;Preñada;MN;292;2026-08-30;0
